Vehicle_ID,Frame,Avg_X_Center,Avg_Y_Center,Avg_Speed,Last_Region
10,380,573.5,209.25,22.859196515440505,north
10,390,595.85,234.15,27.97121548272766,center
10,400,624.05,267.3,36.63258606075574,center
10,410,659.8,309.7,47.35781510449849,center
10,440,719.3,383.4,62.32043699457747,south
12,10,455.5,134.5,0.0,north
12,20,455.6,134.5,0.3785100379552539,north
12,30,455.65,134.75,1.1355301138657619,north
12,40,455.5,134.5,0.0,north
12,50,455.5,134.5,0.0,north
12,60,455.5,134.5,0.0,north
12,70,455.5,134.5,0.0,north
12,80,455.5,134.5,0.0,north
12,90,455.5,134.5,0.0,north
12,100,455.5,134.5,0.0,north
12,110,455.5,134.5,0.0,north
12,120,455.5,134.5,0.0,north
12,130,455.5,134.45,0.7570200759105078,north
12,140,455.5,134.5,0.0,north
12,150,455.3,135.0,1.1355301138657619,north
12,160,455.0,134.95,0.913804067125929,north
12,170,455.75,135.5,1.1355301138657619,north
12,180,456.0,135.5,0.0,north
12,190,456.25,135.5,0.7570200759105078,north
12,200,456.0,135.65,0.3785100379552539,north
12,210,456.05,136.2,1.5140401518210156,north
12,220,456.55,136.55,0.913804067125929,north
12,230,457.3,137.35,1.6033942509444814,north
12,240,457.6,138.4,1.5140401518210156,north
12,250,458.75,140.35,3.119922239333041,north
12,260,460.05,142.45,2.360414326854989,north
12,270,461.0,145.3,3.276706230548462,north
12,280,462.95,149.4,5.280534726479708,north
12,290,466.45,154.55,6.194338793605636,north
12,300,469.35,160.3,6.261768685697592,north
12,310,472.0,167.25,6.231350473316206,north
12,320,474.05,175.25,6.505679403863418,north
12,330,473.35,182.85,7.221096117701228,north
12,348,468.2,195.25,10.985352431278804,north
12,375,432.8,233.0,19.85051248444427,north
12,385,383.7,266.35,32.51359373081844,west
12,395,342.85,287.25,38.095778208425536,west
12,405,294.7,308.05,39.74441162217052,west
12,415,247.35,327.65,38.6700697778616,west
12,425,202.0,345.15,35.865071613006755,west
12,435,157.6,363.1,39.2718970597639,west
12,447,110.9,382.15,34.0082985628844,west
20,128,1160.25,489.65,29.85313051673129,south
20,138,1125.4,444.65,34.622145524673115,south
20,148,1101.1,415.05,33.54750697319133,south
20,158,1073.65,379.15,30.727880612226933,east
20,168,1053.25,350.1,22.803710463277675,east
20,178,1034.4,324.1,28.319681793597823,east
20,188,1020.3,298.8,18.210455271038462,east
20,206,1012.8,277.0,14.794285458140559,east
20,221,1014.2,248.4,8.866734870075483,east
20,238,1026.95,229.75,9.211474503129391,east
25,205,1180.65,661.55,14.895890476237906,south
25,217,1141.65,624.3,28.550744604278083,south
25,231,1111.1,584.9,33.82174549756904,south
25,244,1069.85,528.0,55.57316395450196,south
25,255,1021.15,478.3,45.36698865095035,south
25,265,978.8,435.4,42.24250630587171,south
25,275,934.25,390.55,51.33642900978083,center
25,285,888.7,348.2,46.72662747178745,center
25,295,845.1,309.35,42.958091742450854,center
25,305,803.15,274.15,39.884735192516516,center
25,315,763.95,242.95,36.73830385653435,center
25,325,727.75,215.9,32.37703484105053,center
25,335,695.8,192.8,28.24250171830596,center
25,345,666.7,173.3,24.93493441782511,north
25,355,641.0,156.1,22.702913817812966,north
25,365,618.8,141.75,19.093957167780143,north
25,375,599.2,128.65,17.02514549475014,north
25,385,581.6,117.2,15.033853634485936,north
25,395,566.05,107.6,13.635117646569473,north
25,405,552.55,99.65,11.22484873686913,north
25,415,540.7,91.7,10.51020205428408,north
25,433,525.3,81.75,8.439644221998822,north
25,457,507.0,70.8,7.559388503726479,north
26,205,474.5,105.0,0.0,north
26,215,474.9,105.0,0.3785100379552539,north
26,225,475.0,105.5,0.3785100379552539,north
26,235,474.65,105.5,0.3785100379552539,north
26,245,474.5,105.5,0.0,north
26,255,473.9,105.65,1.5140401518210156,north
26,280,473.55,105.25,0.7904759527336751,north
26,290,473.45,105.5,0.3785100379552539,north
26,300,473.65,106.4,2.0493341809916905,north
26,310,474.45,107.2,3.1848642948574524,north
26,320,474.8,106.85,2.6495702656867772,north
26,335,475.65,109.0,4.189041512576358,north
26,345,478.6,111.45,3.4984322772882948,north
26,355,481.6,114.35,4.655886598185566,north
26,365,484.15,118.25,5.555247647799879,north
26,375,488.4,121.65,6.57284883156089,north
26,385,495.7,128.1,8.629664202072474,north
26,395,501.65,135.9,8.198167289536881,north
26,405,510.15,144.85,10.072738449769485,north
26,415,519.8,154.75,11.156831546230325,north
26,425,530.05,167.05,13.509396322902878,north
26,435,543.0,181.7,16.979605176267892,north
26,445,559.55,199.95,21.03102290931982,north
26,455,580.25,223.1,25.911246764655356,center
26,465,607.1,253.55,34.668820481750785,center
26,475,640.85,292.75,43.88405991771039,center
26,485,684.5,344.35,57.847281684357554,center
26,495,740.65,412.25,74.52248950565102,center
26,505,811.1,497.9,93.4940768675188,south
26,520,897.7,601.55,87.92834199342323,south
34,262,1187.4,683.75,16.94184114512182,south
34,272,1162.5,661.75,33.54092561926062,south
34,282,1132.9,621.25,44.734866526077965,south
34,292,1096.1,570.7,48.74581232380327,south
34,303,1051.05,514.6,54.38399823706451,south
34,313,999.85,458.9,52.70426901961125,south
34,323,950.3,406.9,60.060162474162496,center
34,333,895.9,355.95,53.04829136430139,center
34,343,846.5,311.75,47.59104973464832,center
34,353,800.95,273.85,42.54404586988364,center
34,363,759.35,241.05,38.17958511159042,center
34,373,722.85,213.5,31.991071309367072,center
34,383,691.0,190.75,27.841641890832257,center
34,393,663.0,171.65,24.761405016302767,north
34,403,638.15,154.95,21.243791694208845,north
34,413,616.4,141.05,19.049348332154132,north
34,423,596.85,127.55,17.16672071348795,north
34,440,574.45,113.0,13.295203769141196,north
36,275,1242.45,684.85,14.135057267027003,south
36,285,1223.55,666.25,26.50126691902882,south
36,295,1202.0,633.85,34.50000229630897,south
36,305,1176.0,591.15,40.6188474399116,south
36,315,1147.0,548.35,41.43105229310321,south
36,325,1111.15,501.4,46.777892455272976,south
36,335,1070.45,453.7,48.50047530286209,south
36,345,1029.55,408.15,44.51673090053628,south
36,355,983.5,365.65,49.92099480028151,center
36,365,936.9,325.15,45.44067082454488,center
36,375,893.15,288.65,41.566325020980614,center
36,385,850.8,255.85,39.36221104915795,center
36,395,811.25,227.7,35.212890007921835,center
36,405,774.95,203.0,32.18686581489308,center
36,415,742.6,182.05,27.374074022192843,center
36,425,713.4,164.2,25.031611142839576,north
36,439,678.65,144.3,22.945774422082323,north
36,449,653.85,131.0,18.263505307282117,north
36,459,634.15,119.45,17.326821382298636,north
36,469,617.0,110.15,14.181671661869311,north
36,489,593.25,97.95,11.807514018938354,north
43,344,1147.7,652.9,37.90484631362687,south
43,357,1109.3,597.8,46.37680888530276,south
43,370,1058.7,530.3,51.358667038471125,south
43,380,1004.85,466.6,55.6243489596558,south
43,390,955.0,414.4,60.41294998318311,center
43,400,896.05,357.9,58.199805775306096,center
43,410,841.85,309.6,52.92829791664742,center
43,420,791.35,267.95,46.359768826397286,center
43,430,747.05,233.55,39.50784966021302,center
43,440,709.0,206.35,32.71444922392387,center
43,450,677.5,183.65,27.169835277000335,center
43,460,649.55,165.0,24.45091726773629,north
43,470,625.3,149.1,20.5219750177625,north
43,480,603.5,135.0,19.47120459174535,north
43,490,585.6,123.1,15.390426050299663,north
43,500,570.15,112.25,13.743965272777496,north
43,510,557.4,103.7,10.615186662662207,north
48,401,1164.65,557.75,38.108528445903815,south
48,420,1073.4,445.8,50.15019430487597,south
48,430,1020.3,389.0,47.51030408815398,center
48,440,973.55,347.65,49.291818035606795,center
48,450,927.1,308.05,44.42987821371971,center
48,460,882.95,272.8,41.133456636261215,center
48,470,841.55,241.85,37.76312307301305,center
48,480,803.35,215.95,33.34447943332417,center
48,490,768.5,193.5,29.760031662961104,center
48,506,734.65,172.4,26.348335175404365,center
48,542,653.65,126.85,18.380649504995972,north
49,403,465.0,98.2,2.6075886940851185,north
49,413,468.3,101.3,2.895708356025664,north
49,429,471.65,105.95,3.739370745885453,north
49,439,476.45,110.85,8.027200745204327,north
49,449,483.3,116.15,5.634632720835907,north
49,459,484.85,120.8,4.723316490277522,north
49,469,488.9,125.55,6.354272756373307,north
49,479,497.05,132.8,10.63846837113881,north
49,489,504.15,141.3,7.92907449651924,north
49,499,513.05,152.05,12.829867681426885,north
